,Max,Min,Peak-to-peak,Mean,Standard Dev.,RMS,Kurtosis,Skewness,Crest,Form factor,Variation Coefficient
CPU_Temp,610.66,9.933,600.727,58.23422222222223,102.37985338774617,117.16347879032101,13.59567173295816,3.475893003113893,5.2120337011574565,2.011935152893848,1.7580702459983732
MotorAn,342.264,1.205,341.059,55.05288888888888,109.59320997950151,117.07678323979431,3.6661333752087604,2.3191760319390426,2.9234147926577534,2.12662379037158,1.9906895385760637
FlatstreamCutCounter,514.945,23.136,491.809,27.688406666666662,40.18601329173096,48.69083510881009,143.03361562541545,12.00409896609574,10.57580957174477,1.75852788118096,1.4513660455626662
CutCounter,517.768,23.463,494.305,27.54408724832215,40.43791683087439,48.81523527286299,143.9216757391265,12.078010863492624,10.606688610754967,1.7722582285182304,1.4681160594035538
CPU_Kuehler_Temp,100.092,9.875,90.217,17.649628691983125,13.360294836726396,22.119080387145296,10.6505296646439,2.8159755564301183,4.525142919511671,1.2532320522523117,0.7569731392023537
bCutActive,496.872,2.564,494.308,13.735675585284282,29.562863495248514,32.55316772583925,237.1890708469028,14.655137925431868,15.263399377431561,2.369972086463304,2.152268616981657
HebenAktiv,22.604,0.401,22.203,12.056501661129566,9.380550109179662,15.266355537325422,-1.9848090463104227,0.01767101040735154,1.4806415286696573,1.2662342664907928,0.7780490869439157
FlatstreamDone,15.628,0.016,15.612,11.810110749185666,3.999640245355786,12.466905394312944,-1.606866831343933,-0.2031003788067089,1.253558882954952,1.0556129116039463,0.33866238262258214
FFT_Anforderung,23.239,0.016,23.223000000000003,4.197020792079208,4.004298660527094,5.799440976559212,-0.4341697887771949,0.33314074386424264,4.007110356658482,1.3817994391412494,0.9540812063843412
fLichtschranke,94.173,0.977,93.196,2.6445396825396825,4.063685532652013,4.847288787281153,184.3480586754961,10.131936399981278,19.4279738907039,1.8329423526086255,1.5366324655599246
vVorschub,17.602,1.549,16.053,1.681466216216216,0.7304938295708627,1.8332315129864742,232.36400330866334,13.661546011627394,9.60162416765627,1.0902577139562006,0.4344386003869198
TData.T4,166.988,0.07,166.918,0.7251144619602468,2.7748046120499876,2.8677538771419906,2236.008137476499,39.50734692455018,58.229543801164894,3.954898195506147,3.8267125503864405
TData.T1,88.404,0.06,88.344,0.7058673673673672,2.3042574094857993,2.409764538282381,776.879504037966,23.28903140848899,36.6857419451496,3.413905571623095,3.264433965944417
TData.T2,66.472,0.068,66.404,0.6335205499925274,1.6751711454373508,1.790845402266736,671.4607747460358,20.95987349609998,37.11766516298059,2.8268150137953056,2.644225424821831
Vib03.RMS,44.717,0.265,44.452,0.6194495562130177,1.1540762262118918,1.3097376314230575,487.106100030747,17.575005858113744,34.14195250037523,2.1143572035632583,1.8630673226522185
TData.T3,52.914,0.065,52.849000000000004,0.5823278846153845,1.2992395148646652,1.4236914029562897,494.5231933968389,16.723963205803244,37.16676232652967,2.444827803320132,2.231113345572977
PData.CosPhi,342.264,0.267,341.997,0.41911826362108173,3.408006480936573,3.433514208494664,10008.998751326271,99.81261758072743,99.68329216556727,8.192232375725936,8.131371922311882
PData.PEff,342.264,0.208,342.056,0.4161913368038503,3.418962878069672,3.4440345876941585,9816.044126413188,98.27223542087066,99.37879289102952,8.27512320208943,8.214882376758887
Vib01.RMS,41.399,0.262,41.137,0.388396163777204,0.7409244011298681,0.8365225185332904,1279.7198206140204,30.708416144475247,49.489402954252306,2.1537867686384913,1.907651182556183
Vib02.RMS,41.097,0.262,40.835,0.3673708597757107,0.6278659183012736,0.7274219472207611,1830.3659940077928,35.50761927761629,56.49678313531514,1.9800752505652484,1.709079263076559
Vib03.FrequencyBands,28.508,0.262,28.246,0.3436547199212663,0.7042370565991074,0.7835864492497812,705.954505922447,24.98133139810951,36.381435676043196,2.280156226078624,2.049257629170503
Vib01.FrequencyBands,72.894,0.262,72.632,0.3382175681171208,1.0536243428358494,1.1065374320334835,2825.6694576838113,48.298312270205116,65.8757651479017,3.2716734325589574,3.1152265351011916
Vib02.FrequencyBands,70.783,0.262,70.521,0.3357326820603908,1.0095942102803457,1.063914757058011,3056.371062198349,50.54451127798988,66.53070608375863,3.1689341369114503,3.007137118985462
Vib03.Peak,1.214,0.262,0.952,0.3195875480515565,0.08124450882553594,0.3297519879522386,23.318750501279386,4.448916900176866,3.6815547573767358,1.0318048683769192,0.2542167531897376
Vib02.Peak,1.214,0.262,0.952,0.3034400629786016,0.035377605054051874,0.30549526541153504,116.97518116283105,9.635865187312294,3.9738750070794424,1.0067730095121894,0.11658844487040157
Vib01.Peak,1.214,0.262,0.952,0.3033749284487693,0.03510004039050772,0.3053985459930623,123.15353129305936,9.8602251169267,3.9751335293769805,1.0066703519458258,0.11569855350270002
Vib03.CREST,1.214,0.262,0.952,0.30173413037290064,0.026469301479143014,0.30289281849081623,240.90881151040406,13.09569083875173,4.008018433876499,1.0038400963009508,0.08772392253548085
Vib03.Kurtosis,1.794,0.262,1.532,0.30034483247148824,0.021355581896054025,0.30110305040741875,2672.8878769718444,44.208983603131564,5.958093076681093,1.0025244913644469,0.07110354361792229
Vib01.Kurtosis,1.804,0.262,1.542,0.3003235585777022,0.020382646797202787,0.30101438952332354,2691.4702300552894,43.131138909105694,5.99306897871811,1.0023002888913977,0.0678689573796097
Vib01.CREST,1.214,0.262,0.952,0.3002810198300283,0.01524364745342423,0.30066766238013215,1063.347780352978,23.015298624145153,4.037680641774997,1.001287602361024,0.05076460530889623
